# inventory-allowlist-scalar.txt — the pinned audit surface of the SCALAR layer
# (check-scalar.sh Phase 2c). Same format and same discipline as the main
# allowlist: INV|module|name|kind|cone, one line per constant, reviewed as a
# DIFF rather than read line by line.
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_18|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_19|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_20|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_21|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_22|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_23|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_25|theorem|Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_26|theorem|Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_27|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_28|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_29|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_30|theorem|Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_31|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_32|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_34|theorem|Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_35|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_36|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_37|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_38|theorem|Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_39|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_3|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_40|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_42|theorem|Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_43|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_44|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_45|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_46|theorem|Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_47|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_48|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_50|theorem|Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_51|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_52|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_53|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_54|theorem|Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_55|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_56|theorem|Classical.choice,Quot.sound,propext
INV|Proofs.ScalarAddSpec|ScalarProofs.add_loop_spec._proof_1_58|theorem|Quot.sound,propext
